key,key:customer,fullName,email,passportNumber,dateOfBirth,specialNeeds,isDraft

# base entity
passenger-01,customer-02,Ipsum Lorem,passenger00@newmail.com,QWERTY12,2004/05/15 12:00,None,false

# fullName - variations
passenger-02,customer-01,P,passenger02@newmail.com,ZXCVB678,2007/10/20 08:30,None,false
passenger-03,customer-02,Ip,passenger03@newmail.com,ASDFG234,2000/07/07 15:45,None,false
passenger-04,customer-01,Lorem ipsum dolor sit amett consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,passenger04@newmail.com,GHJKL890,2000/03/22 18:20,None,false
passenger-05,customer-02,Lorem ipsum dolor sit amett consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut,passenger04@newmail.com,2HJKL890,2000/03/22 18:20,None,false
passenger-06,customer-02,This is a name,passenger05@newmail.com,MNBVC456,2005/12/05 07:10,None,false
passenger-07,customer-01,อิปซัม โลเร็ม,passenger06@newmail.com,PLMKJ321,2006/09/17 22:50,None,false
passenger-08,customer-01,إيبسوم لوريم,passenger07@newmail.com,YUIOP765,2000/04/12 10:05,None,false
passenger-09,customer-02,伊普森·洛伦,passenger08@newmail.com,QAZWSX98,2003/06/30 16:25,None,false
passenger-10,customer-02,<marquee>Test</marquee>,passenger09@newmail.com,EDCRFV67,2001/08/23 14:40,None,false
passenger-11,customer-01,<script>alert('Test!');</script>,passenger10@newmail.com,TGBYHN54,2002/02/14 09:35,None,false
passenger-12,customer-01," or B"" = ""B",passenger11@newmail.com,OLIKUJ23,2001/11/27 05:55,None,false

# email - variations
passenger-13,customer-01,Ipsum Lorem,xyz@abc.com,ZXCVB679,2000/01/30 03:15,None,false
passenger-14,customer-01,Ipsum Lorem,test@ipsum-lorem.net,ASMFG234,2010/05/25 20:45,None,false
passenger-15,customer-01,Ipsum Lorem,lorem-ipsum@amet.dolor.elit.tempor.incididunt.ut.labore.et.magna.aliqua.ad.minim.veniam.quis.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.consequat.duis.aute.irure.doloris.edu,GHJPL890,2000/12/19 13:10,None,false
passenger-16,customer-01,Ipsum Lorem,lorem-ipsu@amet.dolor.elit.tempor.incididunt.ut.labore.et.magna.aliqua.ad.minim.veniam.quis.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.consequat.duis.aute.irure.doloris.edu,GHJPL820,2001/12/19 13:10,None,false

# passportNumber - variations
passenger-17,customer-01,Ipsum Lorem,passenger15@newmail.com,QAZ12345,2000/07/09 11:25,None,false
passenger-18,customer-01,Ipsum Lorem,passenger16@newmail.com,WSXXXXXXA,2004/09/01 06:50,None,false
passenger-19,customer-02,Ipsum Lorem,passenger17@newmail.com,123654789,2000/03/14 17:35,None,false
passenger-20,customer-01,Ipsum Lorem,passenger18@newmail.com,ZXCV7654,2000/10/29 12:55,None,false

# birthDate - variations
passenger-21,customer-01,Ipsum Lorem,passenger19@newmail.com,PLMOKN12,2024/12/31 23:59,None,false
passenger-22,customer-01,Ipsum Lorem,passenger20@newmail.com,OKMNIB98,2010/02/21 22:30,None,false
passenger-23,customer-01,Ipsum Lorem,passenger21@newmail.com,MLPOK123,2000/01/01 00:00,None,false
passenger-24,customer-01,Ipsum Lorem,passenger@newmail.com,3LPOK123,2000/01/01 00:01,None,false
passenger-25,customer-02,Ipsum Lorem2,passenger22@newmail.com,PLPOK123,2025/01/01 00:00,None,false

# specialNeeds - variations
passenger-26,customer-02,Ipsum Lorem,passenger23@newmail.com,QAZWSX67,2009/04/18 01:20,,false
passenger-27,customer-01,Ipsum Lorem,passenger24@newmail.com,EDCRFV54,2000/11/11 07:55,L,false
passenger-28,customer-02,Ipsum Lorem,passenger25@newmail.com,TGBYHN83,2005/09/13 10:40,Ip,false
passenger-29,customer-01,Ipsum Lorem,passenger26@newmail.com,OLIKUJ21,2006/12/31 05:25,Ipsum lorem sit amet consectetur adipiscing,false
passenger-30,customer-01,Ipsum Lorem,passenger27@newmail.com,YHNBGVF1,2000/07/04 23:50,Ipsum lorem sit amet consectetur adipiscin,false
passenger-31,customer-01,Ipsum Lorem,passenger28@newmail.com,QWERTY987,2007/05/16 14:05,อิปซัม โลเร็ม,false
passenger-32,customer-01,Ipsum Lorem,passenger29@newmail.com,ASDFGH654,2000/03/08 19:30,سوم لوريم,false
passenger-33,customer-01,Ipsum Lorem,passenger30@newmail.com,ZXCVCV321,2000/01/02 08:15,伊普森·洛伦,false
passenger-34,customer-01,Ipsum Lorem,passenger31@newmail.com,BVCXDF765,2001/06/09 21:45,<marquee>Test</marquee>,false
passenger-35,customer-02,Ipsum Lorem,passenger32@newmail.com,NMKLPO432,2008/10/22 12:10,<script>alert('Test!');</script>,false

# isDraft - variations
passenger-36,customer-01,Ipsum Lorem,passenger33@newmail.com,KJHGFDS98,2012/12/03 03:35," or B"" = ""B",false
passenger-37,customer-01,Ipsum Lorem,passenger34@newmail.com,KJHGFDS93,2014/12/03 02:35," or B"" = ""B",true
